Utility Number,Utility Name,State,country,Division_type,Division_id
20379,Town of Westfield - (IA),IA,US,NERC_REGION,MRO
20380,City of West Liberty - (IA),IA,US,NERC_REGION,MRO
20382,City of West Memphis - (AR),AR,US,NERC_REGION,
20385,West Oregon Electric Coop Inc,OR,US,NERC_REGION,WECC
20392,City of West Plains - (MO),MO,US,NERC_REGION,SERC
20393,City of West Point - (GA),GA,US,NERC_REGION,SERC
20396,West Point Utility System,IA,US,NERC_REGION,MRO
20397,City of West Point - (NE),NE,US,NERC_REGION,MRO
20413,Mountrail-Williams Elec Coop,ND,US,NERC_REGION,MRO
20421,Western Minnesota Mun Pwr Agny,SD,US,NERC_REGION,MRO
20422,Whetstone Valley Elec Coop Inc,SD,US,NERC_REGION,MRO
20430,City of Westbrook,MN,US,NERC_REGION,MRO
20434,City of Westby,WI,US,NERC_REGION,MISO
20447,"Western Farmers Elec Coop, Inc",OK,US,NERC_REGION,SPP
20466,City of Whalan - (MN),MN,US,NERC_REGION,MRO
20471,Village of Wharton - (OH),OH,US,NERC_REGION,RFC
20472,"Wharton County Elec Coop, Inc",TX,US,NERC_REGION,TRE
20476,Western Coop Electric Assn Inc,KS,US,NERC_REGION,SPP
20477,City of Westerville - (OH),OH,US,NERC_REGION,RFC
20480,Village of Westfield - (NY),NY,US,NERC_REGION,NPCC
20481,City of Westfield - (MA),MA,US,NERC_REGION,NPCC
20490,City of Westminster - (SC),SC,US,NERC_REGION,SERC
20509,Wheat Belt Public Power Dist,NE,US,NERC_REGION,MRO
20510,"Wheatland Electric Coop, Inc",KS,US,NERC_REGION,SPP
20534,City of Whigham - (GA),GA,US,NERC_REGION,SERC
20574,White River Valley El Coop Inc,MO,US,NERC_REGION,SERC
20576,"White River Electric Assn, Inc",CO,US,NERC_REGION,WECC
20583,Whitehall Electric Utility,WI,US,NERC_REGION,MISO
20588,City of Whitesboro - (TX),TX,US,NERC_REGION,TRE
20603,Northeastern Rural E M C,IN,US,NERC_REGION,RFC
20618,Town of Wickenburg,AZ,US,NERC_REGION,WECC
20632,City of Wilber,NE,US,NERC_REGION,MRO
20639,"Wild Rice Electric Coop, Inc",MN,US,NERC_REGION,MRO
20641,Village of Wilcox - (NE),NE,US,NERC_REGION,MRO
20659,"WGL Energy Services, Inc.",VA,US,NERC_REGION,
20729,Town of Williamsport - (MD),MD,US,NERC_REGION,RFC
20730,City of Williamsport - (IN),IN,US,NERC_REGION,RFC
20731,Williamstown Utility Comm,KY,US,NERC_REGION,RFC
20737,Willmar Municipal Utilities,MN,US,NERC_REGION,MRO
20739,City of Willow Springs - (MO),MO,US,NERC_REGION,SERC
20785,City of Wilson,NC,US,NERC_REGION,SERC
20789,City of Wilton,IA,US,NERC_REGION,MRO
20792,Town of Winamac - (IN),IN,US,NERC_REGION,RFC
20793,City of Winchester - (TN),TN,US,NERC_REGION,SERC
20806,City of Windom,MN,US,NERC_REGION,MRO
20811,Town of Windsor- (NC),NC,US,NERC_REGION,SERC
20813,City of Winfield - (KS),KS,US,NERC_REGION,SPP
20823,Winner Municipal Utility,SD,US,NERC_REGION,MRO
20824,Village of Winnetka - (IL),IL,US,NERC_REGION,RFC
20826,Town of Winnsboro - (SC),SC,US,NERC_REGION,SERC
20827,City of Winona - (MO),MO,US,NERC_REGION,SERC
20835,City of Winterset - (IA),IA,US,NERC_REGION,MRO
20836,City of Winterville - (NC),NC,US,NERC_REGION,SERC
20837,City of Winthrop - (MN),MN,US,NERC_REGION,MRO
20841,"Wiregrass Electric Coop, Inc",AL,US,NERC_REGION,SERC
20844,Wisconsin Dells Electric Util,WI,US,NERC_REGION,MRO
20845,Wolverine Power Marketing Coop,MI,US,NERC_REGION,RFC
20846,City of Woolstock - (IA),IA,US,NERC_REGION,MRO
20847,Wisconsin Electric Power Co,WI,US,NERC_REGION,
20848,City of Blue Hill - (NE),NE,US,NERC_REGION,MRO
20856,Wisconsin Power & Light Co,WI,US,NERC_REGION,MRO
20858,WPPI Energy,WI,US,NERC_REGION,MISO
20860,Wisconsin Public Service Corp,WI,US,NERC_REGION,
20862,Wisconsin Rapids W W & L Comm,WI,US,NERC_REGION,MRO
20863,Wisconsin River Power Company,WI,US,NERC_REGION,RFC
20880,City of Wisner,NE,US,NERC_REGION,MRO
20910,Wolverine Power Supply Coop,MI,US,NERC_REGION,RFC
20913,Town of Wolfeboro - (NH),NH,US,NERC_REGION,NPCC
20927,"Wood County Electric Coop, Inc",TX,US,NERC_REGION,SPP
20945,City of Wood River- (NE),NE,US,NERC_REGION,MRO
20948,Wise Electric Coop Inc,TX,US,NERC_REGION,TRE
20949,City of Woodbine - (IA),IA,US,NERC_REGION,MRO
20950,Village of Winside - (NE),NE,US,NERC_REGION,MRO
20951,Woodbury County Rural E C A,IA,US,NERC_REGION,SPP
20963,Woodruff Electric Coop Corp,AR,US,NERC_REGION,SERC
20977,City of Woodsfield - (OH),OH,US,NERC_REGION,RFC
20979,Village of Woodville - (OH),OH,US,NERC_REGION,RFC
20980,Precinct of Woodsville,NH,US,NERC_REGION,NPCC
20996,Wright-Hennepin Coop Elec Assn,MN,US,NERC_REGION,MRO
20997,Yellowstone Valley Elec Co-op,MT,US,NERC_REGION,WECC
21002,York Electric Coop Inc,SC,US,NERC_REGION,SERC
21013,City of Worthington - (MN),MN,US,NERC_REGION,MRO
21015,City of Wrangell - (AK),AK,US,NERC_REGION,AK
21021,City of Wray,CO,US,NERC_REGION,WSCC
21048,Wyandotte Municipal Serv Comm,MI,US,NERC_REGION,RFC
21056,City of Wymore - (NE),NE,US,NERC_REGION,MRO
21066,City of Wynnewood - (OK),OK,US,NERC_REGION,SPP
21079,Wyrulec Company,WY,US,NERC_REGION,WECC
21093,3 Phases Renewables Inc,CA,US,NERC_REGION,WECC
